Zestimate,Price,Rent_Zestimate,Bathrooms,Bedrooms,Living_Area,Home_Type,Avg_Income_Per_Capita,Zip,logZestimate,logprice,logrentzestimate,$/sqft
478316,475000,2595,1,3,860,SINGLE_FAMILY,159,Zip_90061,13.07802688,13.07107008,7.861341796,552.3255814
512909,500500,2800,2,2,1283,CONDO,170,Zip_91423,13.14785372,13.12336288,7.937374696,390.101325
670406,690000,3150,3,3,1914,SINGLE_FAMILY,140,Zip_91311,13.41563878,13.44444688,8.055157732,360.5015674
781078,800000,3200,2,4,1891,SINGLE_FAMILY,108,Zip_93063,13.5684303,13.59236701,8.070906089,423.0565838
1525708,1575000,4200,3,4,2865,SINGLE_FAMILY,150,Zip_92679,14.23796912,14.26976583,8.342839804,549.7382199
1138933,1149000,3900,3,4,2414,SINGLE_FAMILY,139,Zip_92673,13.94560242,13.95440256,8.268731832,475.973488
557000,550000,2700,2,2,1346,CONDO,132,Zip_92694,13.23032052,13.21767356,7.901007052,408.6181278
1747657,1775000,5621,3,3,2470,SINGLE_FAMILY,121,Zip_92562,14.37378659,14.38931098,8.634264863,718.6234818
371873,330000,2100,1,2,758,CONDO,169,Zip_92675,12.82630768,12.70684793,7.649692624,435.3562005
1001108,900000,3218,4,4,3100,SINGLE_FAMILY,117,Zip_92587,13.81661794,13.71015004,8.076515328,290.3225806
587610,535000,2800,3,5,3020,SINGLE_FAMILY,121,Zip_92562,13.28381874,13.19002203,7.937374696,177.1523179
3843569,3950103,17162,3,3,3200,SINGLE_FAMILY,157,Zip_92629,15.16191192,15.18925221,9.750452916,1234.407188
474261,520000,2400,2,3,2029,SINGLE_FAMILY,121,Zip_92562,13.06951308,13.16158409,7.783224016,256.2838837
1171146,1150000,4300,3,4,2708,SINGLE_FAMILY,139,Zip_92673,13.97349331,13.9552725,8.366370302,424.6676514
445823,45500,2300,3,3,2064,SINGLE_FAMILY,102,Zip_92532,13.00767729,10.7254676,7.740664402,22.04457364
549610,553000,2500,3,5,2623,SINGLE_FAMILY,105,Zip_92563,13.21696421,13.22311328,7.824046011,210.827297
343557,328000,2150,2,2,994,SINGLE_FAMILY,106,Zip_92057,12.74710832,12.70076889,7.673223121,329.9798793
450157,443500,2000,1,1,704,CONDO,147,Zip_92130,13.01735169,13.00245308,7.60090246,629.9715909
529004,517675,3300,2,3,1810,SINGLE_FAMILY,134,Zip_92253,13.17875127,13.15710291,8.101677747,286.0082873
